node,lv1_relation_text
Touchscreen Interfaces,"['Touchscreen Interfaces is subclass of User Operating System Interface - GUI', 'Touchscreen Interfaces use knowledge of Touchscreen Devices']"
Tower Servers,['Tower Servers is subclass of Rack and Tower Servers']
Trading Business,"['Trading Business is subclass of Finance', 'Trading Business use knowledge of Financial Product']"
Trading Strategies,"['Trading Strategies use knowledge of Rebalance', 'Trading Strategies use knowledge of Auto-DCA']"
Training,['Training is synonym of Skill Development']
Transaction Design,"['Transaction Design is subclass of Transaction Management', 'Transaction Design use knowledge of ATM Cash Withdrawal', 'Transaction Design use knowledge of Book Issue Scenario', 'Transaction Design use knowledge of Lifecycle of a Transaction']"
Transaction Management,"['Transaction Management is subclass of Database Management Systems', 'Transaction Management is subclass of Database Systems', 'Transaction Management is subclass of Database Management', 'Transaction Management is subclass of Database Management Systems (DBMS)', 'Transaction Management use knowledge of ACID', 'Transaction Management use knowledge of Database Systems', 'Transaction Management use knowledge of Transaction Schedules', 'Transaction Management use knowledge of Transaction Design', 'Transaction Management use knowledge of Concurrency Control', 'Transaction Management use knowledge of ACID Properties', 'Transaction Management use knowledge of System Concepts', 'Transaction Management use knowledge of Business Rules', 'Transaction Management use knowledge of Data Integrity', 'Transaction Management use knowledge of Data concurrency', 'Transaction Management use knowledge of ACID properties']"
Transaction Processing,['Transaction Processing is synonym of Transaction Management']
Transaction Processing Applications,['Transaction Processing Applications is subclass of Application Systems']
Transaction Schedules,"['Transaction Schedules is subclass of Transaction Management', 'Transaction Schedules use knowledge of Precedence Graph', 'Transaction Schedules use knowledge of View Serializability', 'Transaction Schedules use knowledge of Conflict Serializability', 'Transaction Schedules use knowledge of Cascading Rollbacks', 'Transaction Schedules use knowledge of Recoverable Schedule', 'Transaction Schedules use knowledge of Serializability']"
Transaction specifications,['Transaction specifications is synonym of Transaction Management']
Transformer,"['Transformer is synonym of Transformer', 'Transformer use knowledge of Residual Connections', 'Transformer use knowledge of Normalization', 'Transformer use knowledge of Feed-Forward Network', 'Transformer use knowledge of Multi-Head Attention', 'Transformer use knowledge of Parallel Processing', 'Transformer use knowledge of Positional Encoding', 'Transformer use knowledge of Self-Attention Mechanism']"
Transistors,['Transistors is subclass of Hardware']
Translation Map,"['Translation Map use knowledge of Physical Address Space', 'Translation Map use knowledge of Virtual Address']"
Transmission Control Protocol/Internet Protocol,['Transmission Control Protocol/Internet Protocol is synonym of TCP/IP']
Transmitting Sensitive Data,"['Transmitting Sensitive Data is subclass of Web Application Security', 'Transmitting Sensitive Data use knowledge of Hypertext Transfer Protocol (HTTP)']"
Transport Layer Protocols,"['Transport Layer Protocols is subclass of Networking', 'Transport Layer Protocols use knowledge of SOCK_DGRAM', 'Transport Layer Protocols use knowledge of SOCK_STREAM', 'Transport Layer Protocols use knowledge of UDP', 'Transport Layer Protocols use knowledge of TCP']"
Transport Software,['Transport Software is synonym of Transportation Application']
Transportation Application,"['Transportation Application is subclass of App', 'Transportation Application is subclass of Application', 'Transportation Application use knowledge of GPS', 'Transportation Application use knowledge of Analysis']"
Trap,['Trap is subclass of Interrupts']
Trap Door,['Trap Door is subclass of Program Threats']
Trap to Operating System,"['Trap to Operating System is subclass of Operating Systems', 'Trap to Operating System use knowledge of Trap']"
Tree-Structured Directories,"['Tree-Structured Directories use knowledge of relative path name', 'Tree-Structured Directories use knowledge of Absolute', 'Tree-Structured Directories use knowledge of working directory', 'Tree-Structured Directories use knowledge of Current directory']"
Tree-Structured Directories (Cont),['Tree-Structured Directories (Cont) is synonym of Tree-Structured Directories']
Triple Constraint,"['Triple Constraint is subclass of Software Project Management (SPM)', 'Triple Constraint use knowledge of Scope', 'Triple Constraint use knowledge of Deadlines', 'Triple Constraint use knowledge of Budget']"
Triple-DES,['Triple-DES is subclass of DES']
Trojan,['Trojan is synonym of Trojan horse']
Trojan Horse,['Trojan Horse is subclass of Program Threats']
Trojan horse,['Trojan horse is subclass of Malware']
Troubleshoot,['Troubleshoot is synonym of Troubleshooting']
Troubleshooting,['Troubleshooting is subclass of Software Development']
True,['True is subclass of Boolean Logic']
Trusted Infrastructure,['Trusted Infrastructure is subclass of Data Center Innovation']
Truth Table,['Truth Table is subclass of Logical Operators']
Tue,['Tue is subclass of Days']
Tunneling,['Tunneling is subclass of Network Firewall']
Tuple,['Tuple use knowledge of Attributes']
Tuples,"['Tuples is subclass of Data Structures', 'Tuples is subclass of Relational Data Model', 'Tuples use knowledge of indexes']"
TurnLeft,['TurnLeft is subclass of Karel']
TurnRight,['TurnRight is subclass of Karel']
Turtle,['Turtle is subclass of Python']
Two Dimensional Structures,['Two Dimensional Structures is synonym of 2D Structures']
Two-Dimensional Arrays,"['Two-Dimensional Arrays is subclass of Multidimensional Arrays', 'Two-Dimensional Arrays use knowledge of Common Error Trap', 'Two-Dimensional Arrays use knowledge of Instantiating Arrays with Different-Length Rows', 'Two-Dimensional Arrays use knowledge of Array of Arrays', 'Two-Dimensional Arrays use knowledge of Two-Dimensional Arrays Passed to and Returned From Methods', 'Two-Dimensional Arrays use knowledge of Processing a Column at a Time', 'Two-Dimensional Arrays use knowledge of Processing One Row at a Time', 'Two-Dimensional Arrays use knowledge of Processing a Given Column', 'Two-Dimensional Arrays use knowledge of Processing a Given Row', 'Two-Dimensional Arrays use knowledge of Accessing Two-Dimensional Array Elements']"
Two-Dimensional Arrays Passed to and Returned From Methods,['Two-Dimensional Arrays Passed to and Returned From Methods is subclass of Two-Dimensional Arrays']
Type Casting,"['Type Casting is subclass of Operators', 'Type Casting is subclass of Python', 'Type Casting use knowledge of Variables']"
TypeError,['TypeError is subclass of Common Exceptions']
TypeSafeReadInteger,"['TypeSafeReadInteger is subclass of Reading From a Text File', 'TypeSafeReadInteger use knowledge of hasNextLine()', 'TypeSafeReadInteger use knowledge of hasNextBoolean()', 'TypeSafeReadInteger use knowledge of hasNextLong()', 'TypeSafeReadInteger use knowledge of hasNextShort()', 'TypeSafeReadInteger use knowledge of hasNextByte()', 'TypeSafeReadInteger use knowledge of hasNextFloat()', 'TypeSafeReadInteger use knowledge of hasNextDouble()', 'TypeSafeReadInteger use knowledge of hasNextInt()']"
TypeScript,"['TypeScript is subclass of JavaScript Superset', 'TypeScript is subclass of JavaScript', 'TypeScript is subclass of Programming Language', 'TypeScript use knowledge of JavaScript']"
Types of Software,"['Types of Software is subclass of Software', 'Types of Software use knowledge of support tools', 'Types of Software use knowledge of software products', 'Types of Software use knowledge of Open Source', 'Types of Software use knowledge of Web applications']"
Types of access,"['Types of access use knowledge of List', 'Types of access use knowledge of Delete', 'Types of access use knowledge of Append', 'Types of access use knowledge of Execute', 'Types of access use knowledge of Write', 'Types of access use knowledge of Read']"
UAT,"['UAT is synonym of User Acceptance Test', 'UAT is subclass of Testing Process', 'UAT is subclass of Software Analysis']"
UDP,['UDP use knowledge of traffic']
UEBA,['UEBA is subclass of Security']
UFS,['UFS is subclass of File System']
UFW,"['UFW is subclass of Firewall', 'UFW use knowledge of ufw app list', 'UFW use knowledge of /etc/ufw/applications.d', 'UFW use knowledge of ufw delete', 'UFW use knowledge of ufw deny', 'UFW use knowledge of ufw insert', 'UFW use knowledge of numbered format', 'UFW use knowledge of ufw allow', 'UFW use knowledge of ufw enable', 'UFW use knowledge of UFW command']"
UFW Firewall,"['UFW Firewall is subclass of Firewall Configuration', 'UFW Firewall use knowledge of sudo ufw status', ""UFW Firewall use knowledge of sudo ufw allow 'Apache'"", 'UFW Firewall use knowledge of sudo ufw app list', 'UFW Firewall use knowledge of ufw']"
UI,"['UI is synonym of User Interface', 'UI is synonym of Front Interface', 'UI is subclass of UI/UX Design', 'UI is subclass of Screen Design', 'UI use knowledge of Website', 'UI use knowledge of Application']"
UI Design,['UI Design is synonym of User Interface Design']
UI Testing,['UI Testing is subclass of Software Testing Methodologies']
UI/UX Design,['UI/UX Design is subclass of Frontend Engineering']
UML,"['UML is synonym of Unified Modeling Language (UML)', 'UML is synonym of UML (Unified Modeling Language)', 'UML is subclass of Modeling Language', 'UML is subclass of Standardized', 'UML is subclass of Software Modeling', 'UML is subclass of Diagram', 'UML is subclass of Software Architecture', 'UML use knowledge of Data flow', 'UML use knowledge of Use Case Diagram', 'UML use knowledge of Sequence Diagram', 'UML use knowledge of Activity Diagram', 'UML use knowledge of Deployment Diagram', 'UML use knowledge of Component Diagram', 'UML use knowledge of Class Diagram', 'UML use knowledge of UML Type', 'UML use knowledge of Behavior', 'UML use knowledge of Structure', 'UML use knowledge of UML Diagram', 'UML use knowledge of Use Case', 'UML use knowledge of Deployment', 'UML use knowledge of Sequence', 'UML use knowledge of Activity', 'UML use knowledge of Class', 'UML use knowledge of Visual Clarity', 'UML use knowledge of Software Engineering', 'UML use knowledge of Object-Oriented Design']"
UML (Unified Modeling Language),['UML (Unified Modeling Language) is subclass of Modeling']
UML Diagram,"['UML Diagram is subclass of UML', 'UML Diagram use knowledge of Use Case Diagram', 'UML Diagram use knowledge of Sequence Diagram', 'UML Diagram use knowledge of Activity Diagram', 'UML Diagram use knowledge of Deployment Diagram', 'UML Diagram use knowledge of Class Diagram', 'UML Diagram use knowledge of Component Diagram']"
UML Type,['UML Type is subclass of UML']
UNION,['UNION is subclass of SQL SET Operation']
UNIX Server,['UNIX Server is synonym of Linux Server']
UNIX System Structure,['UNIX System Structure is subclass of Operating System Structures']
UNIX UFS,['UNIX UFS is synonym of UFS']
UNIX system,['UNIX system is synonym of Unix/Linux System Administration']
UPDATE,['UPDATE is subclass of Data Manipulation Language (DML)']
UPI,['UPI is subclass of Inter-Socket Bandwidth']
URI,['URI is synonym of Uniform Resource Identifiers (URI)']
URL parameters,['URL parameters is subclass of HTTP']
UX,"['UX is synonym of User Experience', 'UX use knowledge of User Interface Design']"
UX/UI principles,['UX/UI principles is synonym of UI/UX Design']
Ubuntu,"['Ubuntu is subclass of Linux', 'Ubuntu is subclass of Linux Distribution', 'Ubuntu is subclass of Linux Server', 'Ubuntu is subclass of Linux Distributions', 'Ubuntu use knowledge of Packages']"
Ubuntu Server,"['Ubuntu Server is subclass of Server OS', 'Ubuntu Server is subclass of Ubuntu']"
Umbrella activities,['Umbrella activities is subclass of Software Engineering']
Uncomplicated Firewall,['Uncomplicated Firewall is synonym of UFW']
Unified Buffer Cache,['Unified Buffer Cache is subclass of Buffer Cache']
Unified Modeling Language,['Unified Modeling Language is synonym of UML']
Unified Modeling Language (UML),"['Unified Modeling Language (UML) is subclass of Object-Oriented Analysis Modelling', 'Unified Modeling Language (UML) use knowledge of Interaction Overview Diagram', 'Unified Modeling Language (UML) use knowledge of Timing Diagram', 'Unified Modeling Language (UML) use knowledge of Communication Diagram', 'Unified Modeling Language (UML) use knowledge of Sequence Diagram', 'Unified Modeling Language (UML) use knowledge of Interaction Diagram', 'Unified Modeling Language (UML) use knowledge of State Machine Diagram', 'Unified Modeling Language (UML) use knowledge of Use Case Diagram', 'Unified Modeling Language (UML) use knowledge of Activity Diagram', 'Unified Modeling Language (UML) use knowledge of Collaboration Diagrams', 'Unified Modeling Language (UML) use knowledge of Package Diagram', 'Unified Modeling Language (UML) use knowledge of Deployment Diagram', 'Unified Modeling Language (UML) use knowledge of Component Diagram', 'Unified Modeling Language (UML) use knowledge of Class Diagram', 'Unified Modeling Language (UML) use knowledge of Diagram']"
Unified Process Model,"['Unified Process Model is subclass of Software Process Models', 'Unified Process Model is subclass of Interactive Process Flow']"
Uniform Resource Identifier,['Uniform Resource Identifier is synonym of URI']
Uniform Resource Identifiers (URI),['Uniform Resource Identifiers (URI) is subclass of Hypertext Transfer Protocol (HTTP)']
Unit Test,"['Unit Test is subclass of Software Testing', 'Unit Test is subclass of Automate Testing', 'Unit Test use knowledge of Java']"
Unit Testing,"['Unit Testing is synonym of Unit Test', 'Unit Testing is subclass of Software Testing', 'Unit Testing use knowledge of product_manage.spec.js', 'Unit Testing use knowledge of Jest']"
Unix,"['Unix is subclass of Operating System', 'Unix is subclass of System Programming']"
Unix System Calls,['Unix System Calls is subclass of System Call']
Unix processes,['Unix processes is synonym of Processes']
Unix/Linux System Administration,"['Unix/Linux System Administration use knowledge of System control', 'Unix/Linux System Administration use knowledge of Process Monitoring', 'Unix/Linux System Administration use knowledge of Process management', 'Unix/Linux System Administration use knowledge of UNIX Compression', 'Unix/Linux System Administration use knowledge of UNIX Packaging files', 'Unix/Linux System Administration use knowledge of UNIX Permission', 'Unix/Linux System Administration use knowledge of UNIX command']"
Unreferenced Files,['Unreferenced Files is subclass of Configuration and Deployment Management Testing']
Unstructured Data,['Unstructured Data is subclass of Data']
Update,['Update is subclass of Database CRUD']
Update Anomalies,"['Update Anomalies is subclass of Data Anomalies', 'Update Anomalies use knowledge of Functional Dependency']"
Update world,['Update world is subclass of Animation Loop']
Usability Requirements,['Usability Requirements is subclass of Non-Functional Requirement']
Usability Testing,['Usability Testing is subclass of Quality Assurance']
Usability testing,['Usability testing is subclass of Software Testing']
Usage Analytics,"['Usage Analytics is subclass of Database Management Systems', 'Usage Analytics use knowledge of Reporting']"
Use Case,"['Use Case is subclass of Software Modeling', 'Use Case is subclass of UML']"
Use Case Diagram,"['Use Case Diagram is subclass of Behavior Diagrams', 'Use Case Diagram is subclass of UML Diagram', 'Use Case Diagram is subclass of Behavior', 'Use Case Diagram is subclass of UML', 'Use Case Diagram use knowledge of Usecase', 'Use Case Diagram use knowledge of Actor', 'Use Case Diagram use knowledge of Admin', 'Use Case Diagram use knowledge of User', 'Use Case Diagram use knowledge of Application', 'Use Case Diagram use knowledge of Software']"
Usecase,"['Usecase use knowledge of Add/Edit/Manage User', 'Usecase use knowledge of Edit', 'Usecase use knowledge of Search', 'Usecase use knowledge of Login']"
Usecase Diagram,"['Usecase Diagram is subclass of UML Diagram', 'Usecase Diagram use knowledge of Usecase', 'Usecase Diagram use knowledge of Actor']"
Usecase Diagram (Example),"['Usecase Diagram (Example) is subclass of Use Case Diagram', 'Usecase Diagram (Example) use knowledge of Add/Edit/Manage User', 'Usecase Diagram (Example) use knowledge of Edit', 'Usecase Diagram (Example) use knowledge of Search', 'Usecase Diagram (Example) use knowledge of Login', 'Usecase Diagram (Example) use knowledge of Actor']"
Used Case,"['Used Case is subclass of Software Analysis', 'Used Case is subclass of Software Modeling']"
Useful enum Methods,"['Useful enum Methods is subclass of enum Types', 'Useful enum Methods use knowledge of EnumObj']"
User Acceptance Test,['User Acceptance Test is subclass of Quality Assurance']
User Acceptance Testing,['User Acceptance Testing is synonym of UAT']
User Account Management,"['User Account Management is subclass of Unix/Linux System Administration', 'User Account Management use knowledge of su [username]', 'User Account Management use knowledge of switch user command', 'User Account Management use knowledge of re-login', 'User Account Management use knowledge of passwd', 'User Account Management use knowledge of sudo useradd', 'User Account Management use knowledge of sudo adduser']"
User Agent,"['User Agent use knowledge of Thunderbird', 'User Agent use knowledge of Netscape Messenger', 'User Agent use knowledge of elm', 'User Agent use knowledge of Outlook', 'User Agent use knowledge of Eudora']"
User Authentication,['User Authentication is subclass of Authentication']
User Binaries,"['User Binaries is subclass of Binaries', 'User Binaries use knowledge of bin']"
User Data,['User Data is synonym of Customer Data']
User Experience,"['User Experience is synonym of UX', 'User Experience is subclass of UX Design', 'User Experience use knowledge of Heuristic evaluations', 'User Experience use knowledge of User Interface Design']"
User Experience Design,['User Experience Design is synonym of UX Design']
User Home Directories,"['User Home Directories is subclass of Linux Directory Structure', 'User Home Directories use knowledge of root', 'User Home Directories use knowledge of home']"
User IDs,"['User IDs is subclass of Access control', 'User IDs is subclass of Protection', 'User IDs is subclass of Security']"
User Interface,"['User Interface is synonym of UI', 'User Interface is synonym of Front Interface', 'User Interface use knowledge of FrontEnd', 'User Interface use knowledge of Graphic Design', 'User Interface use knowledge of Adobe XD', 'User Interface use knowledge of Figma', 'User Interface use knowledge of XML', 'User Interface use knowledge of HTML']"
User Interface Design,"['User Interface Design is subclass of Design Process', 'User Interface Design is subclass of Software Design', 'User Interface Design is subclass of UX Design', 'User Interface Design is subclass of Software Engineering', 'User Interface Design is subclass of Front-end Development', 'User Interface Design use knowledge of Responsive Design', 'User Interface Design use knowledge of User Experience', 'User Interface Design use knowledge of UX', 'User Interface Design use knowledge of Frontend', 'User Interface Design use knowledge of Template System', 'User Interface Design use knowledge of Web Templates', 'User Interface Design use knowledge of Web Framework', 'User Interface Design use knowledge of JavaScript', 'User Interface Design use knowledge of Layout', 'User Interface Design use knowledge of CSS', 'User Interface Design use knowledge of HTML']"
User Interface Testing,['User Interface Testing is synonym of UI Testing']
User Management,"['User Management is subclass of Database Management Systems', 'User Management use knowledge of Permission Level']"
User Management (AD),['User Management (AD) is subclass of System Administration']
User Mode,['User Mode is subclass of Dual Mode Operation']
User Operating System Interface,['User Operating System Interface is subclass of Operating Systems']
User Operating System Interface - CLI,['User Operating System Interface - CLI is subclass of User Operating System Interface']
User Operating System Interface - GUI,['User Operating System Interface - GUI is subclass of User Operating System Interface']
User Profiles,['User Profiles is subclass of Requirements Engineering']
User Requirements,['User Requirements is subclass of Requirements Engineering']
User goals,['User goals is subclass of OS Design']
User passwords,['User passwords is subclass of Networking']
User queries,['User queries is subclass of Query Languages']
User surveys,['User surveys is subclass of Research techniques']
User-Defined Classes,"['User-Defined Classes is subclass of Object-Oriented Programming (OOP)', 'User-Defined Classes use knowledge of class definition', 'User-Defined Classes use knowledge of identifierList', 'User-Defined Classes use knowledge of dataType', 'User-Defined Classes use knowledge of static data', 'User-Defined Classes use knowledge of Class data', 'User-Defined Classes use knowledge of Instance Variables', 'User-Defined Classes use knowledge of Access Modifier', 'User-Defined Classes use knowledge of Methods', 'User-Defined Classes use knowledge of Fields', 'User-Defined Classes use knowledge of ClassName']"
User-Level Threads,"['User-Level Threads is subclass of Thread', 'User-Level Threads use knowledge of Portability', 'User-Level Threads use knowledge of Application-Specific', 'User-Level Threads use knowledge of Flexibility', 'User-Level Threads use knowledge of User-Level Thread Operations', 'User-Level Threads use knowledge of Termination', 'User-Level Threads use knowledge of Thread Creation', 'User-Level Threads use knowledge of Thread Library']"
Using enum Objects With switch,"['Using enum Objects With switch is subclass of enum Types', 'Using enum Objects With switch use knowledge of case constants']"
Using ping for System Testing,['Using ping for System Testing is subclass of Network Diagnostic Checks']
V&V - Software Verification and Validation,['V&V - Software Verification and Validation is subclass of Software Engineering']
VCS,"['VCS is synonym of Version Control System', 'VCS is synonym of Version Control Systems']"
VDL,['VDL is synonym of View Definition Language (VDL)']
VLAN,['VLAN is subclass of Network']
VM,['VM is synonym of Virtual Machine (VM)']
VMWare,['VMWare is subclass of Virtual Machine (VM)']
VOD,['VOD is synonym of Video On Demand']
VPN,['VPN is subclass of Network Security']
VS Code,['VS Code is synonym of Visual Studio Code']
Valid-Invalid Bit,['Valid-Invalid Bit use knowledge of Page Table']
Value Semantics,['Value Semantics is subclass of Value']
Value Sets,['Value Sets is subclass of Data Modeling']
Value-Returning Methods,"['Value-Returning Methods is subclass of methods', 'Value-Returning Methods use knowledge of expression', 'Value-Returning Methods use knowledge of return statement']"
ValueError,"['ValueError is subclass of Common Exceptions', 'ValueError is subclass of Invalid data input']"
Variable Arguments,['Variable Arguments use knowledge of Variable Number of Arguments']
Variable Content,"['Variable Content is subclass of Linux Directory Structure', 'Variable Content use knowledge of var']"
Variables,"['Variables is subclass of Python', 'Variables use knowledge of Data Types']"
Vector Database,"['Vector Database is synonym of Vector Database', 'Vector Database use knowledge of k-Nearest Neighbors (k-NN)', 'Vector Database use knowledge of HNSW (Hierarchical Navigable Small World)', 'Vector Database use knowledge of Vector Similarity Search']"
Vector Search,['Vector Search is synonym of Vector Similarity Search']
Vector Similarity Search,"['Vector Similarity Search use knowledge of HNSW (Hierarchical Navigable Small World)', 'Vector Similarity Search use knowledge of k-Nearest Neighbors (k-NN)']"
Vector database,['Vector database is subclass of NoSQL Database']
Vectored Interrupt System,['Vectored Interrupt System is subclass of Interrupts']
Vectors,"['Vectors is subclass of Data', 'Vectors use knowledge of Algorithms', 'Vectors use knowledge of Arrays']"
Velocity,['Velocity is subclass of Bouncing Ball']
Vendor Data,['Vendor Data is synonym of Partner Data']
Verbal Communication,['Verbal Communication is synonym of English Communication']
Version Control,"['Version Control is subclass of Software Development', 'Version Control use knowledge of GIT', 'Version Control use knowledge of Git']"
Version Control System,"['Version Control System is subclass of Software Configuration Management', 'Version Control System use knowledge of Git']"
Version Control Systems,"['Version Control Systems is subclass of Software Development', 'Version Control Systems is subclass of Software Engineering']"
Vertical Access Controls,['Vertical Access Controls is subclass of Access Control']
Vertical Scaling,['Vertical Scaling is synonym of System Scaling']
Video On Demand,['Video On Demand is subclass of Telco Application']
View Definition Language (VDL),['View Definition Language (VDL) is subclass of Database Languages']
Virtual Address,['Virtual Address is subclass of Address Space']
Virtual Box,['Virtual Box is subclass of Virtual Machine (VM)']
Virtual Filesystem,"['Virtual Filesystem is subclass of Linux Directory Structure', 'Virtual Filesystem use knowledge of UNIFIED FILESYSTEM', 'Virtual Filesystem use knowledge of VIRTUAL FILESYSTEM']"
Virtual Host Configuration,"['Virtual Host Configuration is subclass of Web Server Administration', 'Virtual Host Configuration use knowledge of a2dissite', 'Virtual Host Configuration use knowledge of a2ensite', 'Virtual Host Configuration use knowledge of sudo vim', 'Virtual Host Configuration use knowledge of index.html', 'Virtual Host Configuration use knowledge of sudo chmod', 'Virtual Host Configuration use knowledge of sudo chown', 'Virtual Host Configuration use knowledge of sudo mkdir', 'Virtual Host Configuration use knowledge of virtual hosts']"
Virtual LAN,['Virtual LAN is synonym of VLAN']
Virtual Machine,['Virtual Machine use knowledge of JVM']
Virtual Machine (VM),"['Virtual Machine (VM) is subclass of Virtualization', 'Virtual Machine (VM) use knowledge of VMWare', 'Virtual Machine (VM) use knowledge of Virtual Box']"
Virtual Machine Architecture Design,"['Virtual Machine Architecture Design is subclass of System Infrastructure', 'Virtual Machine Architecture Design use knowledge of ubuntu', 'Virtual Machine Architecture Design use knowledge of centos', 'Virtual Machine Architecture Design use knowledge of vmware workstation']"
Virtual Memory,"['Virtual Memory is subclass of Memory', 'Virtual Memory is subclass of Operating System', 'Virtual Memory use knowledge of Address Space', 'Virtual Memory use knowledge of Physical Memory', 'Virtual Memory use knowledge of Logical Memory']"
Virtual Private Network,['Virtual Private Network is synonym of VPN']
Virtual memory,"['Virtual memory is synonym of Swap-Space Management', 'Virtual memory is subclass of Memory Management']"
VirtualBox,['VirtualBox is subclass of Web Security Dojo']
Virus Signature,['Virus Signature is subclass of Viruses']
Viruses,"['Viruses is subclass of Security', 'Viruses is subclass of Protection', 'Viruses is subclass of Program Threats']"
Visual Design,['Visual Design is subclass of Software Design']
Visual Display Editor (vi),['Visual Display Editor (vi) is synonym of Text Editor (vi)']
Visual Metaphors,"['Visual Metaphors use knowledge of stacking order', 'Visual Metaphors use knowledge of colored shapes', 'Visual Metaphors use knowledge of backdrop', 'Visual Metaphors use knowledge of felt board', 'Visual Metaphors use knowledge of collage model']"
Visual Studio Code,['Visual Studio Code is subclass of Web Security Dojo']
Visualization,['Visualization is synonym of Graphing']
Vmware/VirtualBox,['Vmware/VirtualBox is subclass of Server OS']
Vue instance,['Vue instance is subclass of Front-end Development']
Vue.js,"['Vue.js is synonym of VueJS', 'Vue.js is subclass of JavaScript Framework', 'Vue.js use knowledge of JavaScript']"
VueJS,"['VueJS is synonym of Vue.js', 'VueJS is subclass of Web Framework', 'VueJS use knowledge of JavaScript']"
Vulnerabilities,"['Vulnerabilities is subclass of Web Application Security', 'Vulnerabilities use knowledge of Cross-Site Scripting (XSS)', 'Vulnerabilities use knowledge of Session Management Vulnerabilities', 'Vulnerabilities use knowledge of Access Control Flaws', 'Vulnerabilities use knowledge of Server-Side Request Forgery (SSRF)', 'Vulnerabilities use knowledge of Security Logging and Monitoring Failures', 'Vulnerabilities use knowledge of Software and Data Integrity Failures', 'Vulnerabilities use knowledge of Identification and Authentication Failures', 'Vulnerabilities use knowledge of Vulnerable and Outdated Components', 'Vulnerabilities use knowledge of Cryptographic Failures', 'Vulnerabilities use knowledge of Insecure Design', 'Vulnerabilities use knowledge of Cross-Site Request Forgery (CSRF)', 'Vulnerabilities use knowledge of Cross-site scripting (XSS)', 'Vulnerabilities use knowledge of Injection Flaws', 'Vulnerabilities use knowledge of Broken Access Control']"
Vulnerability,['Vulnerability is subclass of Web Application Security']
Vulnerability Assessment,"['Vulnerability Assessment is synonym of Risk Assessments', 'Vulnerability Assessment is subclass of Security']"
Vulnerable Remember Password,['Vulnerable Remember Password is subclass of Authentication Testing']
Vulnerable and Outdated Components,['Vulnerable and Outdated Components is subclass of Vulnerabilities']
WBS,['WBS is synonym of Work Breakdown Structure (WBS)']
Wait-For Graph,"['Wait-For Graph is subclass of Deadlock Detection', 'Wait-For Graph use knowledge of Disjoint Cycle', 'Wait-For Graph use knowledge of Single Instance']"
Warehouse Management,['Warehouse Management is synonym of stock management']
Waterfall,['Waterfall is subclass of Software Development Methodologies']
Waterfall Model,"['Waterfall Model is subclass of Software Process Models', 'Waterfall Model is subclass of Linear Process Flow', 'Waterfall Model is subclass of Software Development Process']"
Waterfall methodology,['Waterfall methodology is subclass of Software Development Life Cycle (SDLC)']
Weak Entity Types,['Weak Entity Types is subclass of Entity Relationship Diagram']
Weak Lock Out Mechanism,['Weak Lock Out Mechanism is subclass of Authentication Testing']
Weak Password Policy,['Weak Password Policy is subclass of Authentication Testing']
Weaker Authentication,['Weaker Authentication is subclass of Authentication Testing']
Weather Question,['Weather Question use knowledge of Weather answer']
Web,"['Web is subclass of Networking', 'Web is subclass of Network Services']"
Web API,['Web API is subclass of API']
Web APIs,['Web APIs is synonym of APIs']
Web Application,"['Web Application is subclass of Software Application', 'Web Application is subclass of Application']"
Web Application Firewall (WAF),['Web Application Firewall (WAF) is subclass of Firewalling']
Web Application Programming Interface,['Web Application Programming Interface is synonym of Web API']
